Sala;Consumo (kw);Custo Kwh (R$);Custo da troca das lampadas (r$);Consumo com LED (kw);Custo Kwh (R$)
1;30.72;12.115968000000002;89.52;17.28;6.815232000000001
2;76.8;30.289920000000002;223.79999999999998;43.2;17.03808
3;20.48;8.077312;89.52;11.52;4.543488
4;30.72;12.115968000000002;89.52;17.28;6.815232000000001
5;1.28;0.504832;34.76;0.72;0.283968
6;1.28;0.504832;34.76;0.72;0.283968
7;81.92;32.309248;358.08;46.08;18.173952
8;30.72;12.115968000000002;89.52;17.28;6.815232000000001
9;230.39999999999998;90.86976;671.4;129.60000000000002;51.11424
10;2.56;1.009664;44.76;1.44;0.567936
11;2.56;1.009664;44.76;1.44;0.567936
12;1.28;0.504832;44.76;0.72;0.283968
13;30.72;12.115968000000002;89.52;17.28;6.815232000000001
14;15.36;6.057984000000001;69.52;8.64;3.4076160000000004
15;15.36;6.057984000000001;69.52;8.64;3.4076160000000004
16;76.8;30.289920000000002;347.59999999999997;43.2;17.03808
17;5.12;2.019328;89.52;2.88;1.135872
18;15.36;6.057984000000001;139.04;8.64;3.4076160000000004
19;20.48;8.077312;139.04;11.52;4.543488
20;30.72;12.115968000000002;89.52;17.28;6.815232000000001
21;15.36;6.057984000000001;89.52;8.64;3.4076160000000004
22;42.24;16.659456;382.35999999999996;23.759999999999998;9.370944
23;46.08;18.173952;134.28;25.92;10.222847999999999
24;76.8;30.289920000000002;223.79999999999998;43.2;17.03808
25;11.52;4.543488;52.14;6.48;2.5557119999999998
26;20.48;8.077312;89.52;11.52;4.543488
27;20.48;8.077312;179.04;11.52;4.543488
28;10.24;4.038656;89.52;5.76;2.271744
29;2.56;1.009664;44.76;1.44;0.567936
30;2.56;1.009664;44.76;1.44;0.567936
31;5.12;2.019328;89.52;2.88;1.135872
32;12.8;5.0483199999999995;223.79999999999998;7.199999999999999;2.83968
33;10.24;4.038656;179.04;5.76;2.271744
34;20.48;8.077312;89.52;11.52;4.543488
35;138.24;54.52185600000001;402.84;77.75999999999999;30.668544
36;122.88;48.46387200000001;537.12;69.12;27.260928000000003
37;81.92;32.309248;358.08;46.08;18.173952
38;30.72;12.115968000000002;89.52;17.28;6.815232000000001
39;30.72;12.115968000000002;89.52;17.28;6.815232000000001
40;92.16;36.347904;402.84;51.84;20.445695999999998
41;30.72;12.115968000000002;89.52;17.28;6.815232000000001
42;61.44;24.231936000000005;268.56;34.56;13.630464000000002
43;20.48;8.077312;89.52;11.52;4.543488
44;20.48;8.077312;89.52;11.52;4.543488
45;5.12;2.019328;89.52;2.88;1.135872
46;61.44;24.231936000000005;179.04;34.56;13.630464000000002
47;30.72;12.115968000000002;89.52;17.28;6.815232000000001
48;81.92;32.309248;358.08;46.08;18.173952
49;122.88;48.46387200000001;537.12;69.12;27.260928000000003
50;122.88;48.46387200000001;537.12;69.12;27.260928000000003
51;30.72;12.115968000000002;89.52;17.28;6.815232000000001
52;2.56;1.009664;44.76;1.44;0.567936
53;122.88;48.46387200000001;358.08;69.12;27.260928000000003
54;5.12;2.019328;89.52;2.88;1.135872
55;5.12;2.019328;89.52;2.88;1.135872
56;30.72;12.115968000000002;89.52;17.28;6.815232000000001
57;30.72;12.115968000000002;89.52;17.28;6.815232000000001
58;15.36;6.057984000000001;44.76;8.64;3.4076160000000004
59;122.88;48.46387200000001;358.08;69.12;27.260928000000003
60;5.12;2.019328;89.52;2.88;1.135872
61;5.12;2.019328;89.52;2.88;1.135872
62;122.88;48.46387200000001;358.08;69.12;27.260928000000003
63;184.32;72.695808;537.12;103.68;40.891391999999996
64;30.72;12.115968000000002;89.52;17.28;6.815232000000001
65;30.72;12.115968000000002;89.52;17.28;6.815232000000001
